Rang;Gesamtwertung;Kategorie;Produkt;Marke;Typ;Preis;Preis_Leistung;Bildqualitaet;Ausstattung_Handling;Geschwindigkeit;Kameraklasse;Effektive_Pixel;Sensor_Typ
73;69.7;5;Panasonic Lumix_DMC_GX1;Panasonic;Lumix_DMC_GX1;427;57;75.7;63.6;67.7;DSLM;15.8;NMOS
77;66.7;5;Panasonic Lumix_DMC_GF5;Panasonic;Lumix_DMC_GF5;485.05;82;73.8;62.3;57.1;DSLM;12;NMOS
12;86.9;6;Pentax K_3;Pentax;K_3;929.56;61;78.4;96.6;86.3;DSLR;24.1;CMOS
17;85.3;6;Pentax K_5_IIs;Pentax;K_5_IIs;624.99;74;80;93.1;80.1;DSLR;16.1;CMOS
21;83.7;6;Pentax K_5_II;Pentax;K_5_II;764.44;65;76.8;93.3;79;DSLR;16.1;CMOS
23;83.2;6;Pentax K_S1;Pentax;K_S1;486.19;83;85.8;85.6;69.1;DSLR;20;CMOS
26;82.9;6;Pentax K_500;Pentax;K_500;516.2;82;83.2;86.4;72.8;DSLR;16.1;CMOS
31;82.4;6;Pentax K_50;Pentax;K_50;445;84;80.6;89.2;69.8;DSLR;16.1;CMOS
79;62;6;Pentax Q10*;Pentax;Q10*;424.71;56;63.5;66.4;45.9;DSLM;12;CMOS
1;93.4;7;Samsung NX1;Samsung;NX1;1499;52;93.9;90.3;100;DSLM;28;CMOS
14;86.4;7;Samsung NX30;Samsung;NX30;529.97;83;89.6;84.8;80.9;DSLM;20;CMOS
34;81.8;7;Samsung Galaxy_NX*;Samsung;Galaxy_NX*;999;54;90;79.2;64.1;DSLM;20;CMOS
48;78.8;7;Samsung NX3000*;Samsung;NX3000*;289;96;97;64.7;61.9;DSLM;20;CMOS
56;75.8;7;Samsung NX2020*;Samsung;NX2020*;285;91;86.9;64.5;72.4;DSLM;20;CMOS
66;71.4;7;Samsung NX1100*;Samsung;NX1100*;544.98;87;78.1;64.3;70.2;DSLM;20;CMOS
67;71.4;7;Samsung NX_mini*;Samsung;NX_mini*;264.31;77;82.1;63.1;61.2;DSLM;20;CMOS
68;71.4;7;Samsung NX210*;Samsung;NX210*;755.33;73;77.3;65.9;68.1;DSLM;20;CMOS
2;92.8;8;Sony Alpha_77_II;Sony;Alpha_77_II;959;60;86.2;99.6;94.7;DSLR;24;CMOS
5;90.2;8;Sony Alpha_77;Sony;Alpha_77;1039.98;65;80.7;100;92.6;DSLR;24;CMOS
15;86;8;Sony Alpha_6000;Sony;Alpha_6000;527;84;91.5;77.6;92.2;DSLM;24;CMOS
18;84.8;8;Sony Alpha_58;Sony;Alpha_58;360;100;88.8;88.2;64;DSLR;19.8;CMOS
22;83.4;8;Sony NEX_6;Sony;NEX_6;848.99;80;87.4;79.3;82.6;DSLM;16;CMOS
32;82.2;8;Sony Alpha_37;Sony;Alpha_37;538.96;88;86;83.7;67.1;DSLR;16;CMOS
51;77.3;8;Sony NEX_5R*;Sony;NEX_5R*;949;55;87;65.3;80.1;DSLM;16;CMOS
52;76.7;8;Sony Alpha_5100;Sony;Alpha_5100;369;75;87.9;65.3;73.2;DSLM;24;CMOS
58;74.2;8;Sony Alpha_3000*;Sony;Alpha_3000*;403;86;87.8;65.7;55.8;DSLM;19.8;CMOS
61;74;8;Sony NEX_F3*;Sony;NEX_F3*;600;57;86.9;61.7;67.9;DSLM;16;CMOS
62;73.6;8;Sony Alpha_5000*;Sony;Alpha_5000*;329;81;90.7;61.5;54.8;DSLM;19.7;CMOS
64;72.2;8;Sony NEX_3N*;Sony;NEX_3N*;599.9;70;87.2;62;54.1;DSLM;16;CMOS
76;67.5;8;Sony Alpha_NEX_3*;Sony;Alpha_NEX_3*;368.5;51;77.6;58;62.5;DSLM;14;CMOS
