psraid;qk9a;qk9b;qk9c;qk9d;qk9e;qk9f;qk9g;qk22a;qk22b;qk22c;qk22d;qk23a;qk23b;qk23c;qk23d;qk23e;qk25a;qk25b;qk25c;qk25d;qk26a;qk26b;qk26c;qk26d;qk26e;qk26f;qk21;qk24
110977;1;1;1;3;1;1;4;2;1;1;1;2;1;1;2;2;1;1;1;1;1;2;1;2;1;1;20;500
110996;1;3;1;3;5;3;3;3;4;4;1;4;4;3;1;3;1;4;4;1;1;1;1;3;3;1;2;150
111059;2;2;1;1;2;5;1;1;3;2;1;1;2;4;3;4;1;2;4;1;1;2;2;2;4;1;20;300
111060;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
111063;3;2;2;5;2;5; ;3;3;5;1;2;3;4;4;4;1;5;5;1;1;5;4;3;5;3;5;10
111072;1;3;1;4;5;5;4;5;1;5;5;5;1;2;5;3;1;1;3;1;2;1;1;2;1;1;3;40
111107;1;4;3;2;5;5;4;2;2;3;5;4;4;4;4;2;2;2;3;5;4;4;4;3;4;8;2;4
111128;1;4;1;1;1;5;1;1;2;3;3;4;1;2;5;4;2;3;4;4;5;4;4;5;4;3;6;10
111179;1;4;1;1;5;5;4;2;1;4;5;5;2;5;4;5;1;3;4;5;1;2;5;4;4;4;5;50
111186;3;3;3;2;3;4;3;3;3;3;4;3;3;3;3;4;3;2;3;4;4;3;3;3;4;4;17;50
111190;3;2;1;1;3;5;4;2;2;4;2;4;2;4;4;4;1;4;4;2;1;4;4;4;4;3;5;60
111199;3;4;3;4;5;5; ;4;4;4;5;5;4;4;4;5;4;4;4;4;4;4;4;4;4;4;0;0
111237;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5; ; ; ; ; ; ; ; ; ; ;0; 
111250;1;4;1;1;3;5;2;2;2;3;5;4;3;4;4;4;1;4;1;2;1;2;2;4;2;4;10;100
111278;1;4;1;1;4;3;1;3;2;4;6;4;4;2;1;3;1;2;4;6;1;2;4;1;4;4;3;200
