own_EBR;own_smartphone;own_iPad;bought_ebook;ebook_UB;emag_UB;type_1;type_2;type_3;type_4;type_5;type_6;type_7;type_8;interest_1;interest_2;interest_3;interest_4;interest_5;interest_6;interest_7;interest_8;interest_9;interest_10;reason_1;reason_2;reason_3;reason_4;reason_5;reason_6;reason_7;reason_8;newsletter;blogs;social_media;sex;age;faculty
maybe;yes;maybe;maybe;maybe;maybe;5;5;1;3;5;2;3;5;3;3;2;2;3;3;4;4;3;2;1;4;4;5;1;1;2;1;14;3;1;1;32;
no;no;no;maybe;no;no;4;4;1;3;4;2;2;2;3;3;3;2;3;3;2;2;1;1;1;1;2;2;2;1;1;3;;5;1;1;20;4
maybe;yes;maybe;maybe;maybe;maybe;5;2;1;5;4;1;1;2;2;2;4;1;4;4;1;2;1;3;2;2;3;1;2;3;3;2;7;1;1;1;27;6
no;maybe;no;no;no;no;2;2;1;4;4;2;1;1;2;1;1;2;2;2;3;3;3;2;1;2;2;2;3;1;2;2;1;1;1;0;25;6
maybe;maybe;maybe;maybe;maybe;maybe;2;2;5;5;5;1;1;2;4;1;2;2;1;1;2;3;2;3;1;1;1;1;2;1;1;1;1;5;1;0;23;2
no;no;no;no;maybe;maybe;3;2;4;3;5;5;5;4;2;3;4;1;3;3;2;1;1;1;1;1;1;1;1;1;1;1;2;5;5;1;23;7
no;maybe;no;yes;no;no;3;4;3;5;3;2;2;2;3;1;1;1;3;3;2;1;1;2;1;3;3;1;1;2;1;1;1;5;5;1;25;2
no;yes;no;no;no;no;1;5;2;5;5;1;5;2;2;4;4;2;2;1;3;3;4;4;1;2;4;1;1;1;1;1;1;5;5;0;38;5
no;no;no;yes;yes;yes;1;2;1;4;5;1;2;2;4;4;2;3;1;1;3;3;2;3;1;5;2;1;3;1;2;1;1;5;1;0;28;6
maybe;no;no;maybe;maybe;yes;2;5;2;5;5;2;3;2;3;4;4;2;1;1;4;3;4;2;1;3;4;1;1;1;2;1;4;5;4;1;26;4
maybe;maybe;maybe;maybe;yes;yes;2;4;2;4;5;5;1;4;4;3;4;2;4;2;2;2;2;2;1;3;3;1;1;1;1;1;1;5;5;1;26;5
maybe;maybe;maybe;maybe;maybe;maybe;1;1;2;5;5;1;1;3;2;2;4;3;2;1;4;4;4;3;2;2;4;1;4;3;1;4;1;4;4;0;23;3
no;yes;no;no;no;no;5;5;2;5;5;1;1;3;4;1;3;3;1;2;3;4;4;4;1;2;5;1;1;1;1;1;3;3;1;0;21;6
no;no;no;no;no;no;1;2;2;5;5;1;1;2;3;2;4;4;2;2;4;4;4;4;1;1;1;3;1;1;2;1;4;5;5;0;23;2
maybe;yes;maybe;maybe;maybe;maybe;2;2;1;4;5;2;4;2;1;4;4;2;2;1;4;2;3;3;2;5;5;2;3;2;3;3;5;1;1;0;31;3
maybe;yes;maybe;maybe;maybe;maybe;4;3;2;5;4;2;1;4;3;1;4;1;2;2;3;3;3;2;1;2;2;1;1;1;3;4;1;4;1;0;23;6
maybe;maybe;maybe;maybe;maybe;maybe;1;1;3;5;5;1;1;2;3;1;3;2;1;1;4;4;4;3;1;1;3;1;1;1;3;2;2;5;2;0;28;2
maybe;maybe;maybe;maybe;maybe;maybe;1;2;4;4;4;4;4;4;2;1;1;2;4;2;3;2;2;2;2;1;3;1;1;1;1;2;3;4;5;0;26;4
no;no;no;no;no;no;1;4;3;5;4;2;2;3;2;3;4;2;4;1;1;1;1;2;1;2;3;2;2;3;3;2;1;2;1;1;26;4
no;maybe;no;no;no;no;1;1;5;4;4;1;4;3;2;4;2;2;3;1;4;3;3;2;1;1;2;5;1;1;4;1;3;4;3;0;35;2
no;no;maybe;maybe;no;yes;1;3;1;5;4;5;1;1;1;2;4;2;2;2;1;1;1;1;1;4;2;1;1;1;3;2;4;4;1;1;29;5
no;maybe;no;maybe;yes;yes;2;3;5;4;5;5;1;5;3;3;2;3;3;1;3;3;3;2;1;3;2;1;1;1;1;3;5;2;5;0;27;7
no;no;no;no;no;no;2;4;1;4;5;2;3;3;1;3;4;2;2;3;3;3;2;2;1;1;1;1;1;1;2;1;3;3;1;0;24;5
maybe;no;no;no;maybe;maybe;1;4;1;5;5;1;5;4;2;3;4;1;2;1;2;2;3;2;1;1;1;1;1;1;1;1;3;5;4;1;43;3
no;yes;maybe;no;no;yes;1;2;2;5;5;1;2;4;4;3;4;3;1;3;1;3;2;2;1;1;3;1;1;1;1;1;4;5;1;1;25;3
yes;yes;maybe;maybe;maybe;maybe;2;3;5;4;5;5;5;3;4;1;2;3;1;1;2;3;3;3;1;2;4;2;3;4;3;4;7;2;1;0;24;6
maybe;yes;no;maybe;maybe;maybe;2;2;2;4;5;1;1;2;3;1;2;3;1;2;3;3;3;3;1;2;5;2;3;2;3;3;3;1;1;0;21;6
maybe;yes;maybe;maybe;maybe;maybe;2;2;2;4;4;1;2;2;2;2;3;2;1;1;3;2;2;2;1;1;1;2;2;2;2;2;6;2;1;0;23;6
maybe;yes;maybe;maybe;no;maybe;1;4;2;5;5;2;2;2;2;2;3;1;1;2;1;1;1;1;1;2;1;1;2;3;2;1;;1;1;1;24;2
maybe;maybe;maybe;maybe;maybe;maybe;2;2;5;4;4;5;2;3;1;4;4;1;2;3;3;2;2;2;2;2;1;1;2;1;3;1;3;5;4;1;25;5
maybe;maybe;maybe;maybe;maybe;maybe;1;3;4;4;5;2;2;2;1;3;4;3;2;2;3;3;3;3;2;1;1;2;1;1;1;1;11;2;1;0;23;3
maybe;yes;maybe;maybe;maybe;maybe;2;5;2;5;4;1;3;2;3;1;2;1;1;1;4;2;3;4;1;2;5;1;1;2;3;3;6;2;2;0;24;6
no;maybe;no;no;no;no;1;1;2;5;5;1;3;4;3;2;2;1;1;1;3;3;3;2;1;1;4;1;1;1;2;2;2;3;1;0;25;6
maybe;maybe;maybe;yes;maybe;maybe;1;1;2;3;5;1;3;3;1;3;3;2;1;2;4;4;4;3;1;4;1;4;4;1;1;2;9;2;1;0;30;3
maybe;maybe;maybe;maybe;yes;maybe;1;3;4;5;4;2;1;3;3;4;3;2;1;1;4;3;3;2;1;2;1;2;4;1;1;4;6;2;5;0;21;4
maybe;maybe;no;yes;maybe;maybe;1;1;5;2;5;1;1;2;3;3;3;2;3;1;2;1;1;2;1;3;3;1;3;1;2;1;6;5;1;1;22;4
maybe;yes;maybe;maybe;maybe;maybe;1;2;3;5;4;5;3;5;2;3;4;2;1;1;2;4;4;4;1;2;2;2;2;1;2;2;3;2;3;0;43;3
no;no;no;no;no;no;3;4;4;5;5;3;2;5;1;4;4;1;2;1;2;2;2;2;1;3;3;4;5;2;2;4;1;5;5;1;22;5
maybe;yes;maybe;maybe;yes;maybe;1;2;1;5;4;1;4;4;1;1;4;4;1;1;4;4;4;4;3;3;5;2;2;3;4;2;1;2;4;0;35;3
maybe;no;no;maybe;maybe;maybe;2;4;3;5;5;5;2;2;2;3;3;2;3;1;3;2;3;1;1;1;2;2;3;2;2;2;6;2;1;1;22;4
no;no;no;no;maybe;yes;2;4;1;5;5;2;5;2;1;3;4;2;3;1;4;2;4;2;1;1;4;1;3;1;3;1;1;5;2;1;20;4
no;maybe;no;no;no;no;1;4;1;5;4;1;5;2;1;3;4;1;1;2;3;2;3;2;1;2;5;1;3;2;2;2;3;3;2;1;26;3
maybe;yes;no;maybe;yes;maybe;2;3;1;4;3;2;1;4;2;1;4;1;2;2;2;3;3;2;1;1;2;1;1;1;1;1;1;5;2;1;27;7
no;maybe;maybe;no;no;no;2;2;4;4;5;1;1;3;3;1;4;2;2;2;1;1;1;2;1;1;1;1;1;1;1;1;7;5;1;1;21;6
maybe;maybe;maybe;no;maybe;maybe;1;3;4;4;5;3;1;2;1;3;4;1;2;2;3;3;2;2;1;1;1;1;1;1;1;2;1;5;2;1;24;3
no;no;no;no;no;no;2;2;1;5;5;1;3;3;2;4;4;2;4;4;4;4;4;4;1;1;1;1;1;1;1;1;2;5;2;1;22;3
maybe;yes;no;maybe;maybe;maybe;1;2;3;3;5;1;1;1;2;1;1;2;2;1;3;3;3;3;1;1;1;1;3;3;2;2;11;2;3;0;24;6
no;yes;no;no;maybe;maybe;2;5;1;5;4;1;3;2;1;4;4;2;2;2;3;2;3;2;1;1;1;1;1;1;1;1;9;2;1;1;24;3
no;maybe;no;no;no;no;2;5;2;5;5;5;5;4;3;4;4;3;3;2;4;4;4;4;1;1;2;3;2;1;1;1;3;5;1;1;22;6
maybe;maybe;maybe;maybe;maybe;maybe;1;2;1;5;5;1;3;2;1;1;4;1;2;3;3;3;3;2;2;1;2;2;3;1;2;1;;5;2;1;24;3
maybe;maybe;maybe;maybe;maybe;maybe;1;1;1;3;3;1;1;2;1;2;3;1;2;1;3;2;2;2;3;2;4;3;1;1;4;1;11;2;5;1;34;3
no;no;no;maybe;maybe;no;1;4;2;5;5;5;1;5;1;4;4;4;2;1;4;4;4;4;1;1;1;1;1;1;1;4;6;5;3;0;57;4
maybe;yes;no;maybe;maybe;maybe;2;4;3;5;5;2;1;2;3;2;4;2;3;3;2;2;3;2;1;2;2;3;4;2;4;1;1;5;5;1;21;5
maybe;maybe;maybe;maybe;maybe;maybe;1;3;3;5;5;1;2;2;2;2;3;2;2;2;3;2;2;2;1;2;2;1;3;2;2;1;5;5;1;1;22;5
no;no;no;no;no;no;1;3;1;2;5;1;1;4;1;4;4;4;4;1;3;3;3;2;1;1;1;1;1;1;1;1;1;5;1;1;25;4
no;maybe;maybe;no;yes;no;4;4;3;4;4;1;1;2;3;2;3;1;2;2;2;2;2;3;3;3;2;2;1;4;3;1;1;5;2;1;20;7
no;no;no;no;no;no;2;3;2;5;5;4;4;5;2;2;4;3;2;2;2;4;3;3;1;3;2;1;1;1;2;2;5;4;5;1;27;4
no;no;no;no;no;no;3;4;5;3;4;5;2;4;3;4;3;1;4;2;4;2;2;1;1;3;2;1;1;1;1;1;6;5;1;1;24;4
no;no;no;no;no;no;4;5;5;5;5;5;5;5;1;4;4;3;4;2;3;3;3;2;1;1;1;1;1;1;2;4;1;5;2;1;30;5
no;no;no;no;no;no;1;2;1;5;5;1;3;1;2;3;4;2;1;1;1;3;3;2;1;1;3;1;1;1;1;3;1;3;5;1;48;7
no;maybe;maybe;no;maybe;maybe;1;5;1;5;5;1;1;2;2;3;4;2;1;1;3;3;3;3;1;2;2;1;3;1;3;5;7;2;4;0;29;4
no;no;no;no;no;no;2;2;1;5;5;5;2;5;1;4;4;2;3;3;3;3;3;2;1;1;3;1;1;1;1;1;4;3;1;0;27;3
yes;maybe;no;yes;yes;yes;1;4;2;4;5;1;3;2;4;4;4;4;1;2;4;4;4;4;3;5;5;1;1;1;4;1;16;5;5;1;32;3
maybe;maybe;maybe;maybe;maybe;maybe;1;4;4;5;5;2;1;3;3;3;4;2;3;2;2;2;2;2;1;3;1;1;1;1;1;1;1;5;5;1;26;7
no;yes;no;maybe;maybe;maybe;1;1;2;4;3;2;5;5;3;4;4;1;1;2;4;3;3;4;1;3;2;1;1;1;3;1;1;2;2;1;25;6
no;no;no;no;no;no;2;4;5;5;5;1;5;4;3;2;2;2;1;2;3;4;4;4;2;3;3;3;3;2;3;1;4;5;2;0;26;6
no;no;no;maybe;no;no;1;2;5;5;5;2;4;4;2;3;4;3;1;1;4;4;3;1;1;3;3;1;3;1;2;3;1;5;1;0;26;4
no;yes;no;no;maybe;maybe;1;2;2;4;4;1;2;3;1;4;4;2;1;2;4;4;3;3;1;1;2;2;1;1;1;2;4;1;2;0;36;6
maybe;yes;maybe;maybe;maybe;maybe;2;5;1;5;5;1;5;5;2;4;4;4;1;1;4;4;4;4;1;3;5;1;2;3;2;2;1;3;5;0;37;6
maybe;maybe;no;maybe;yes;yes;3;4;3;5;5;2;1;3;3;1;4;2;1;1;4;4;4;2;1;1;5;2;2;3;4;4;4;5;5;0;23;6
no;yes;no;no;no;no;1;2;4;4;4;2;2;3;4;3;4;2;4;1;4;4;4;2;1;2;1;1;2;1;2;3;2;5;2;0;38;7
