IDQ;hobby_1;hobby_2;hobby_3;hobby_4;hobby_5;hobby_6;hobby_7;hobby_8;hobby_9;hobby_10;hobby_11;hobby_12;own_mm_1;own_mm_2;own_mm_3;own_mm_4;own_mm_5;own_mm_6;own_mm_7;own_mm_8;own_mm_9;own_mm_10;own_mm_11;info_1;info_2;info_3;info_4;info_5;info_6;info_7;info_8;info_9;nq_kids;nq_gender;cam_crit_1;cam_crit_2;cam_crit_3;cam_crit_4;cam_crit_5;cam_crit_6;cam_brand;TV_crit_1;TV_crit_2;TV_crit_3;TV_crit_4;TV_crit_5;TV_crit_6;TV_brand;notebook_crit_1;notebook_crit_2;notebook_crit_3;notebook_crit_4;notebook_crit_5;notebook_crit_6;notebook_brand;vendor_TV;vendor_desktopPC;vendor_notebook;vendor_pocketcamera;vendor_SLRcamera
275;0;0;1;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;F;6;5;2;3;4;1;Nikon;5;2;4;3;6;1;DontKnow;6;5;1;2;3;4;DontKnow;V_99;V_99;V_99;V_99;V_99
276;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;2;F;6;3;2;1;5;4;Canon;4;1;3;6;5;2;Philips;6;5;1;2;3;4;HP;V_1;V_1;V_1;V_1;V_99
277;0;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;F;6;5;4;1;3;2;Canon;5;1;4;6;3;2;Sony;5;4;3;6;2;1;HP;V_7;V_7;V_1;V_1;V_7
278;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;2;M;1;2;6;3;4;5;Sony;1;2;3;5;6;4;Philips;1;5;2;3;6;4;Apple;V_4;V_99;V_1;V_1;V_1
279;1;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;1;M;6;3;5;4;2;1;Canon;2;3;1;6;5;4;DontKnow;6;2;5;4;3;1;HP;V_2;V_2;V_2;V_2;V_2
280;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;M;5;4;3;2;1;6;Nikon;4;3;1;6;5;2;DontKnow;5;6;4;3;2;1;Apple;V_1;V_4;V_1;V_1;V_1
281;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;M;5;4;6;1;3;2;Canon;5;1;2;4;6;3;Samsung;6;4;3;5;2;1;HP;V_1;V_1;V_1;V_1;V_1
282;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;F;6;2;5;3;1;4;DontKnow;5;3;2;6;4;1;Panasonic;5;6;1;4;3;2;Apple;V_4;V_4;V_4;V_2;V_2
283;0;0;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;1;1;F;2;1;3;5;4;6;Other;3;6;4;2;1;5;Samsung;3;2;1;4;5;6;Apple;V_99;V_7;V_99;V_99;V_7
284;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;1;0;M;6;4;3;5;2;1;Canon;4;1;3;6;5;2;Sony;4;6;2;5;1;3;DontKnow;V_2;V_6;V_6;V_2;V_2
