IDQ;hobby_1;hobby_2;hobby_3;hobby_4;hobby_5;hobby_6;hobby_7;hobby_8;hobby_9;hobby_10;hobby_11;hobby_12;own_mm_1;own_mm_2;own_mm_3;own_mm_4;own_mm_5;own_mm_6;own_mm_7;own_mm_8;own_mm_9;own_mm_10;own_mm_11;info_1;info_2;info_3;info_4;info_5;info_6;info_7;info_8;info_9;nq_kids;nq_gender;cam_crit_1;cam_crit_2;cam_crit_3;cam_crit_4;cam_crit_5;cam_crit_6;cam_brand;TV_crit_1;TV_crit_2;TV_crit_3;TV_crit_4;TV_crit_5;TV_crit_6;TV_brand;notebook_crit_1;notebook_crit_2;notebook_crit_3;notebook_crit_4;notebook_crit_5;notebook_crit_6;notebook_brand;vendor_TV;vendor_desktopPC;vendor_notebook;vendor_pocketcamera;vendor_SLRcamera
319;0;0;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;F;4;2;1;6;3;5;Nikon;6;5;3;1;2;4;Sony;6;1;4;2;5;3;Acer;V_99;V_2;V_2;V_1;V_1
320;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;F;6;4;3;1;2;5;DontKnow;5;1;3;6;4;2;DontKnow;6;5;1;3;4;2;DontKnow;V_1;V_1;V_4;V_1;V_1
321;0;0;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;2;F;6;5;2;1;4;3;Nikon;6;1;3;5;4;2;Samsung;6;3;4;1;2;5;HP;V_1;V_7;V_7;V_2;V_7
322;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;2;M;6;5;3;2;4;1;Other;4;3;2;6;5;1;Samsung;2;6;4;5;3;1;Apple;V_6;V_6;V_6;V_6;V_6
323;1;0;1;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;M;6;4;1;2;3;5;Other;6;3;5;4;1;2;Sony;6;4;1;2;3;5;Sony;V_6;V_6;V_6;V_6;V_6
324;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;2;F;6;5;3;2;4;1;DontKnow;4;1;2;6;5;3;DontKnow;6;5;3;4;1;2;DontKnow;V_2;V_2;V_2;V_2;V_2
325;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;M;6;5;4;3;1;2;Canon;6;1;2;5;4;3;Sony;6;5;3;4;1;2;Apple;V_1;V_1;V_1;V_1;V_1
326;0;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;1;0;F;1;2;5;4;3;6;DontKnow;2;6;5;4;1;3;Sony;1;2;5;6;3;4;DontKnow;V_2;V_2;V_2;V_2;V_2
327;1;0;1;0;0;1;0;1;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;F;6;5;3;1;4;2;Canon;5;2;3;6;1;4;DontKnow;6;5;2;3;1;4;DontKnow;V_99;V_99;V_2;V_2;V_2
328;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;F;3;2;5;6;1;4;Canon;1;6;5;2;4;3;Panasonic;1;5;6;4;2;3;Apple;V_4;V_4;V_4;V_4;V_1
329;1;0;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;0;1;F;5;6;3;1;2;4;DontKnow;4;1;3;5;6;2;Panasonic;5;6;4;1;3;2;DontKnow;V_7;V_7;V_1;V_4;V_4
330;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;1;F;6;2;3;1;5;4;Canon;3;1;6;5;4;2;Philips;6;5;2;3;1;4;HP;V_7;V_6;V_4;V_6;V_6
331;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;F;2;3;6;5;4;1;Nikon;5;1;3;6;2;4;DontKnow;6;5;1;2;4;3;HP;V_1;V_1;V_1;V_1;V_1
332;1;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;0;1;0;0;M;6;2;1;3;4;5;Nikon;4;2;5;6;3;1;Other;4;6;2;3;1;5;Toshiba;V_7;V_1;V_1;V_1;V_1
333;0;0;1;0;1;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;0;1;1;1;2;M;6;3;1;2;4;5;Canon;6;1;2;3;5;4;DontKnow;6;1;3;4;2;5;DontKnow;V_4;V_7;V_6;V_1;V_1
334;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;M;4;3;5;1;2;6;Canon;2;6;3;5;1;4;Samsung;1;3;5;4;6;2;Dell;V_4;V_7;V_7;V_6;V_6
335;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;M;6;4;2;1;5;3;Canon;3;1;4;5;6;2;Samsung;6;1;2;3;5;4;Acer;V_1;V_99;V_99;V_1;V_1
336;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;1;1;1;F;6;4;3;1;2;5;Nikon;4;1;2;6;5;3;DontKnow;6;4;2;1;5;3;DontKnow;V_99;V_99;V_99;V_99;V_99
337;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;F;5;4;6;3;2;1;Sony;5;2;3;6;4;1;Samsung;5;6;2;4;3;1;Other;V_4;V_7;V_99;V_4;V_4
338;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;1;1;F;5;3;6;4;2;1;DontKnow;6;2;1;5;4;3;Sony;6;4;3;2;5;1;Apple;V_1;V_1;V_1;V_99;V_99
